Type,Name,RidgeCV,LDA,LogReg,RandomForest,Rocket,Minirocket,Multirocket,,Difference,TRidgeCV,TLDA,TLogReg,TRandomForest,,TRocket,TMinirocket,TMultirocket
Motion,GunPointOldVersusYoung,1,0.88,1,1,0.99,1,1,,0,0.01,0.01,0.01,0.11,,9.7,2.02,4.58
Spectro,Ham,0.71,0.66,0.65,0.75,0.71,0.69,0.73,,0.02,0.02,0.03,0.02,0.14,,13.24,2.72,6.11
Motion,Haptics,0.43,0.35,0.38,0.44,0.52,0.53,0.56,,-0.12,0.03,0.05,0.14,0.24,,70.48,12.67,26.39
Image,Herring,0.59,0.58,0.63,0.66,0.7,0.66,0.67,,-0.05,0.02,0.02,0.03,0.13,,9.5,2.06,4.49
Device,HouseTwenty,0.73,0.72,0.72,0.71,0.97,0.97,0.99,,-0.26,0.04,0.06,0.07,0.14,,44.23,7.87,20.96
Motion,InlineSkate,0.19,0.23,0.27,0.34,0.46,0.45,0.47,,-0.13,0.06,0.08,0.4,0.25,,167.63,27.2,70.85
EPG,InsectEPGRegularTrain,0.82,1,1,1,1,1,1,,0,0.02,0.02,0.03,0.11,,25.62,4.43,12.76
EPG,InsectEPGSmallTrain,0.83,1,1,1,0.98,1,1,,0,0.01,0.02,0.04,0.12,,21.73,3.57,10.88
Sensor,InsectWingbeatSound,0.62,0.26,0.58,0.63,0.66,0.67,0.68,,-0.05,0.03,0.02,0.09,0.23,,75.38,12.4,29.07
Sensor,ItalyPowerDemand,0.97,0.94,0.96,0.97,0.97,0.96,0.97,,0,0.01,0.01,0.01,0.11,,4.25,1.09,3.31
Device,LargeKitchenAppliances,0.44,0.38,0.39,0.58,0.9,0.87,0.88,,-0.32,0.08,0.1,0.21,0.44,,75.92,14.41,26.96
Sensor,Lightning2,0.77,0.66,0.72,0.75,0.75,0.74,0.69,,0.02,0.01,0.02,0.03,0.12,,11.08,2.3,5.92
Sensor,Lightning7,0.64,0.55,0.67,0.71,0.84,0.79,0.82,,-0.12,0.02,0.01,0.05,0.14,,6.78,1.46,3.9
Simulated,Mallat,0.76,0.86,0.82,0.91,0.96,0.95,0.92,,-0.05,0.03,0.04,0.15,0.17,,328.04,56.44,106.41
Spectro,Meat,0.98,0.98,0.93,0.92,0.95,0.97,0.93,,0.02,0.01,0.01,0.04,0.11,,7.85,1.71,3.64
Image,MedicalImages,0.55,0.49,0.63,0.73,0.8,0.8,0.81,,-0.07,0.02,0.01,0.04,0.25,,16.1,3.39,8.24
Image,MiddlePhalanxOutlineAgeGroup,0.6,0.48,0.6,0.62,0.6,0.6,0.62,,-0.01,0.01,0.01,0.03,0.2,,7.09,2.21,4.73
Image,MiddlePhalanxOutlineCorrect,0.62,0.58,0.59,0.81,0.83,0.84,0.86,,-0.04,0.01,0.01,0.02,0.29,,11.1,3.07,7.12
Image,MiddlePhalanxTW,0.61,0.53,0.53,0.56,0.55,0.53,0.54,,0.06,0.01,0.01,0.04,0.22,,6.86,2.24,4.81
Image,MixedShapes,0.79,0.71,0.82,0.87,0.97,0.97,0.98,,-0.11,0.11,0.17,0.24,0.67,,403.66,71.88,149.56
Image,MixedShapesSmallTrain,0.77,0.69,0.78,0.78,0.94,0.95,0.96,,-0.18,0.04,0.04,0.14,0.2,,345.96,60.73,123.44
Sensor,MoteStrain,0.86,0.72,0.86,0.88,0.91,0.93,0.95,,-0.07,0.01,0,0.01,0.11,,14.54,2.7,7.72
Spectro,OliveOil,0.9,0.9,0.9,0.9,0.9,0.93,0.97,,-0.07,0.03,0.01,0.06,0.11,,5.11,1.65,2.58
Image,OSULeaf,0.4,0.32,0.46,0.49,0.93,0.96,0.96,,-0.47,0.06,0.03,0.16,0.22,,26.59,5.44,11.14
